id,name,owner,repository,repository_url,homepage_url,primary_category,project_type,official_status,score,stars,forks,open_issues,primary_language,license,checked_at
TIGER-AI-Lab/ClawBench,ClawBench,TIGER-AI-Lab,TIGER-AI-Lab/ClawBench,https://github.com/TIGER-AI-Lab/ClawBench,,G.44,application,community,43.8,458,27,0,Python,,2026-07-07T18:45:29.195112+00:00
microsoft/ignite25-PREL13-observe-manage-and-scale-agentic-ai-apps-with-microsoft-foundry,ignite25-PREL13-observe-manage-and-scale-agentic-ai-apps-with-microsoft-foundry,microsoft,microsoft/ignite25-PREL13-observe-manage-and-scale-agentic-ai-apps-with-microsoft-foundry,https://github.com/microsoft/ignite25-PREL13-observe-manage-and-scale-agentic-ai-apps-with-microsoft-foundry,,H.55,evaluation framework,community,43.8,45,138,0,Jupyter Notebook,,2026-07-07T18:45:29.195112+00:00
rsdouglas/janee,janee,rsdouglas,rsdouglas/janee,https://github.com/rsdouglas/janee,,D.20,MCP server,community,43.7,29,7,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
larryaasen/upgrader,upgrader,larryaasen,larryaasen/upgrader,https://github.com/larryaasen/upgrader,,J.81,template,community,43.7,637,340,0,Dart,,2026-07-07T18:45:29.195112+00:00
rivet-dev/secure-exec,secure-exec,rivet-dev,rivet-dev/secure-exec,https://github.com/rivet-dev/secure-exec,,C.13,application,community,43.7,928,48,0,MDX,,2026-07-07T18:45:29.195112+00:00
crabtalk/crabtalk,crabtalk,crabtalk,crabtalk/crabtalk,https://github.com/crabtalk/crabtalk,,B.6,framework,community,43.7,718,83,0,Rust,,2026-07-07T18:45:29.195112+00:00
chaosync-org/awesome-ai-agent-testing,awesome-ai-agent-testing,chaosync-org,chaosync-org/awesome-ai-agent-testing,https://github.com/chaosync-org/awesome-ai-agent-testing,,H.55,evaluation framework,community,43.7,40,13,0,,,2026-07-07T18:45:29.195112+00:00
tubecreate/tubecli,tubecli,tubecreate,tubecreate/tubecli,https://github.com/tubecreate/tubecli,,B.9,framework,community,43.6,147,1,0,Python,,2026-07-07T18:45:29.195112+00:00
Agent-Threat-Rule/agent-threat-rules,agent-threat-rules,Agent-Threat-Rule,Agent-Threat-Rule/agent-threat-rules,https://github.com/Agent-Threat-Rule/agent-threat-rules,,H.57,library,community,43.6,299,39,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
agynio/v1,v1,agynio,agynio/v1,https://github.com/agynio/v1,,G.49,sandbox,community,43.5,50,5,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
traceroot-ai/traceroot,traceroot,traceroot-ai,traceroot-ai/traceroot,https://github.com/traceroot-ai/traceroot,,H.53,observability platform,community,43.5,655,181,0,TypeScript,,2026-07-07T18:45:29.195112+00:00
rtrvr-ai/rtrvr-cli,rtrvr-cli,rtrvr-ai,rtrvr-ai/rtrvr-cli,https://github.com/rtrvr-ai/rtrvr-cli,,G.44,application,community,43.4,25,5,0,JavaScript,,2026-07-07T18:45:29.195112+00:00
langchain-ai/langchain-google,langchain-google,langchain-ai,langchain-ai/langchain-google,https://github.com/langchain-ai/langchain-google,,J.81,template,community,43.4,389,451,0,Python,,2026-07-07T18:45:29.195112+00:00
ctxrs/ctx,ctx,ctxrs,ctxrs/ctx,https://github.com/ctxrs/ctx,,E.35,library,community,43.4,717,38,0,Rust,,2026-07-07T18:45:29.195112+00:00
